"","Position","Height","Playtype","Name","Rating","Team"
"280","C","7'3""","2-Way Inside-the-Arc Scorer","Zydrunas Ilgauskas",88,"All-Time Cleveland Cavaliers"
"281","PG","5'11""","Versatile Offensive Force","Terrell Brandon",87,"All-Time Cleveland Cavaliers"
"282","PG / SG","6'2""","Offensive Threat","World B. Free",87,"All-Time Cleveland Cavaliers"
"283","PF / C","6'10""","3-Level Scoring Glass Cleaner","Kevin Love",87,"All-Time Cleveland Cavaliers"
"284","SF","6'8""","3-Level Scorer","Campy Russell",86,"All-Time Cleveland Cavaliers"
"285","SG","6'4""","2-Way 3-Level Shot Creator","Austin Carr",86,"All-Time Cleveland Cavaliers"
"286","PF / C","6'11""","Paint Beast","Hot Rod Williams",85,"All-Time Cleveland Cavaliers"
"287","C / PF","6'11""","Paint Beast","Jim Chones",84,"All-Time Cleveland Cavaliers"
"288","SG / SF","6'5""","Scoring Machine","Bingo Smith",84,"All-Time Cleveland Cavaliers"
"289","C / PF","6'11""","2-Way Mid-Range Specialist","Anderson Varejao",84,"All-Time Cleveland Cavaliers"
"290","PF / SF","6'8""","One of a Kind","Jayson Tatum",95,"Boston Celtics"
"291","SG / SF","6'6""","2-Way Scoring Machine","Jaylen Brown",90,"Boston Celtics"
"292","C","6'9""","Defensive Anchor","Robert Williams III",83,"Boston Celtics"
"293","PG / SG","6'4""","Versatile Offensive Force","Malcolm Brogdon",83,"Boston Celtics"
"294","SG / PG","6'4""","2-Way Inside-Out Scorer","Marcus Smart",82,"Boston Celtics"
"295","C / PF","6'9""","2-Way 3-Level Scorer","Al Horford",80,"Boston Celtics"
"296","SG / PG","6'4""","2-Way Playshot","Derrick White",80,"Boston Celtics"
"297","PF / SF","6'10""","3-Level Scorer","Danilo Gallinari",78,"Boston Celtics"
"298","PF / C","6'6""","Inside-Out Scorer","Grant Williams",76,"Boston Celtics"
"299","C / PF","6'9""","Inside-Out Shot Creator","Blake Griffin",75,"Boston Celtics"
"300","C / PF","6'11""","Stretch Five","Mike Muscala",75,"Boston Celtics"
"301","SF / PF","6'7""","Shooter","Sam Hauser",75,"Boston Celtics"
"302","C","7'2""","Paint Protector","Luke Kornet",74,"Boston Celtics"
"303","PG / SG","6'1""","3-Level Scorer","Payton Pritchard",73,"Boston Celtics"
"304","SF / SG","6'6""","Scrappy Wing","Justin Champagnie",70,"Boston Celtics"
"305","PF / C","6'10""","Interior Finisher","Mfiondu Kabengele",70,"Boston Celtics"
"306","PG / SG","6'1""","Slasher","JD Davison",69,"Boston Celtics"
"307","C / PF","6'10""","Diming Paint Beast","Bill Russell",98,"1964-65 Boston Celtics"
"308","SG / SF","6'4""","Diming 3-Level Scorer","Sam Jones",89,"1964-65 Boston Celtics"
"309","PG / SG","6'1""","2-Way Diming Finisher","K.C. Jones",85,"1964-65 Boston Celtics"
"310","PF / SF","6'6""","Glass-Cleaning Lockdown","Tom Sanders",85,"1964-65 Boston Celtics"
"311","PF / SG","6'5""","2-Way 3-Level Scorer","John Havlicek",83,"1964-65 Boston Celtics"
"312","PF / C","6'7""","Sharpshooter","Tom Heinsohn",80,"1964-65 Boston Celtics"
"313","C / PF","7'0""","Glass Cleaner","Mel Counts",75,"1964-65 Boston Celtics"
"314","PG / SG","6'3""","3 & D Point","Larry Siegfried",71,"1964-65 Boston Celtics"
"315","SG","6'4""","Perimeter Defender","Gerry Ward",68,"1964-65 Boston Celtics"
"316","C / PF","6'10""","Paint Protector","John Thompson",68,"1964-65 Boston Celtics"
"317","SF / PF","6'9""","2-Way 3-Level Point Forward","Larry Bird",97,"1985-86 Boston Celtics"
"318","PF / C","6'10""","Paint Beast","Kevin McHale",92,"1985-86 Boston Celtics"
"319","C / PF","7'0""","Paint Beast","Robert Parish",87,"1985-86 Boston Celtics"
"320","PG / SG","6'4""","2-Way Slashing Playmaker","Dennis Johnson",84,"1985-86 Boston Celtics"
"321","C / PF","6'11""","Defensive Anchor","Bill Walton",82,"1985-86 Boston Celtics"
"322","SG / PG","6'4""","Diming Inside-Out Scorer","Danny Ainge",78,"1985-86 Boston Celtics"
"323","SF / SG","6'7""","2-Way Shooter","Scott Wedman",75,"1985-86 Boston Celtics"
"324","PG / SG","6'1""","2-Way Diming Middy Specialist","Jerry Sichting",75,"1985-86 Boston Celtics"
"325","C","6'11""","Glass Cleaner","Greg Kite",69,"1985-86 Boston Celtics"
"326","PG / SG","6'2""","Tempo-Pushing Point","Sam Vincent",69,"1985-86 Boston Celtics"
"327","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Kevin Garnett",94,"2007-08 Boston Celtics"
"328","SF / PF","6'7""","2-Way 3-Level Scorer","Paul Pierce",92,"2007-08 Boston Celtics"
"329","SG / SF","6'5""","2-Way Diming Sharpshooter","Ray Allen",88,"2007-08 Boston Celtics"
"330","PG","6'1""","2-Way Slashing Playmaker","Rajon Rondo",86,"2007-08 Boston Celtics"
"331","C","6'10""","Defensive Anchor","Kendrick Perkins",77,"2007-08 Boston Celtics"
"332","C / PF","6'8""","Glass Cleaner","Leon Powe",77,"2007-08 Boston Celtics"
"333","SF / PF","6'8""","2-Way Shooter","James Posey",76,"2007-08 Boston Celtics"
"334","SG","6'4""","2-Way Interior Finisher","Tony Allen",76,"2007-08 Boston Celtics"
"335","C","6'9""","2-Way Inside-the-Arc Scorer","Glen Davis",75,"2007-08 Boston Celtics"
"336","PG / SG","6'3""","Diming 3-Level Scorer","Sam Cassell",74,"2007-08 Boston Celtics"
"337","C","7'1""","Defensive Anchor","P.J. Brown",74,"2007-08 Boston Celtics"
"338","PG","6'1""","Shooter","Eddie House",74,"2007-08 Boston Celtics"
"339","PF / SF","6'9""","Stretch Four","Brian Scalabrine",73,"2007-08 Boston Celtics"
"340","C","6'11""","Mid-Range Shooter","Scot Pollard",73,"2007-08 Boston Celtics"
"341","SF / PF","6'9""","2-Way 3-Level Point Forward","Larry Bird",98,"All-Time Boston Celtics"
"342","C / PF","6'10""","Paint Beast","Bill Russell",98,"All-Time Boston Celtics"
"343","PG","6'1""","All-Around Threat","Bob Cousy",96,"All-Time Boston Celtics"
"344","SF / SG","6'5""","All-Around Threat","John Havlicek",96,"All-Time Boston Celtics"
"345","PF / C","6'10""","2-Way 3-Level Scorer","Kevin McHale",95,"All-Time Boston Celtics"
"346","C / PF","6'9""","2-Way 3-Level Scorer","Dave Cowens",95,"All-Time Boston Celtics"
"347","PG","6'3""","2-Way Playshot","Jo Jo White",94,"All-Time Boston Celtics"
"348","SF / PF","6'7""","2-Way 3-Level Point Forward","Paul Pierce",94,"All-Time Boston Celtics"
"349","C / PF","7'0""","Paint Beast","Robert Parish",93,"All-Time Boston Celtics"
"350","SG / PG","6'1""","All-Around Threat","Bill Sharman",92,"All-Time Boston Celtics"
"351","PF / C","6'11""","2-Way Inside-the-Arc Scorer","Kevin Garnett",92,"All-Time Boston Celtics"
"352","PG","6'1""","2-Way Slashing Playmaker","Rajon Rondo",90,"All-Time Boston Celtics"
"353","PF / C","6'7""","2-Way 3-Level Scorer","Tom Heinsohn",89,"All-Time Boston Celtics"
"354","SF / PF","6'8""","2-Way 3-Level Point Forward","Jayson Tatum",88,"All-Time Boston Celtics"
"355","SG / SF","6'5""","2-Way Diming Sharpshooter","Ray Allen",88,"All-Time Boston Celtics"
"356","SF / PF","6'7""","2-Way 3-Level Point Forward","Kawhi Leonard",92,"Los Angeles Clippers"
"357","SF / SG","6'8""","2-Way 3-Level Shot Creator","Paul George",89,"Los Angeles Clippers"
"358","PG / SG","6'3""","Slashing Playmaker","Russell Westbrook",81,"Los Angeles Clippers"
"359","C","7'0""","Paint Beast","Ivica Zubac",81,"Los Angeles Clippers"
"360","C","7'0""","Glass-Cleaning Finisher","Mason Plumlee",80,"Los Angeles Clippers"
"361","SF / SG","6'4""","2-Way 3-Level Scorer","Norman Powell",79,"Los Angeles Clippers"
"362","SG / PG","6'2""","3PT Specialist","Bones Hyland",77,"Los Angeles Clippers"
"363","PF / C","6'7""","Hybrid Defender","Robert Covington",77,"Los Angeles Clippers"
"364","SF / SG","6'5""","Sharpshooter","Terance Mann",77,"Los Angeles Clippers"
"365","SG / SF","6'3""","Inside-Out Scorer","Eric Gordon",76,"Los Angeles Clippers"
"366","PF / SF","6'8""","3-Level Scorer","Marcus Morris Sr.",75,"Los Angeles Clippers"
"367","PF / SF","6'8""","3-Level Scorer","Nicolas Batum",74,"Los Angeles Clippers"
"368","SG / SF","6'6""","Inside-Out Scorer","Brandon Boston Jr.",74,"Los Angeles Clippers"
"369","SF / PF","6'7""","Finesse Finisher","Amir Coffey",72,"Los Angeles Clippers"
"370","PG / SG","6'3""","Floor General","Jason Preston",71,"Los Angeles Clippers"
"371","PF / C","6'10""","Paint Protector","Moussa Diabate",69,"Los Angeles Clippers"
"372","PG","6'2""","3PT Shooter","Xavier Moon",67,"Los Angeles Clippers"
"373","PG","6'0""","All-Around Threat","Chris Paul",94,"2013-14 Los Angeles Clippers"
"374","PF / C","6'10""","2-Way Slashing Playmaker","Blake Griffin",91,"2013-14 Los Angeles Clippers"
"375","C","6'11""","Paint Beast","DeAndre Jordan",87,"2013-14 Los Angeles Clippers"
"376","SG","6'4""","2-Way Diming Sharpshooter","JJ Redick",82,"2013-14 Los Angeles Clippers"
"377","SG / SF","6'5""","3-Level Shot Creator","Jamal Crawford",81,"2013-14 Los Angeles Clippers"
"378","PG","6'0""",NA,"Darren Collison",78,"2013-14 Los Angeles Clippers"
"379","PF","6'7""","Stretch Four","Jared Dudley",77,"2013-14 Los Angeles Clippers"
"380","C","7'0""","Paint Beast","Ryan Hollins",77,"2013-14 Los Angeles Clippers"
"381","SF / PF","6'9""","Shooter","Danny Granger",76,"2013-14 Los Angeles Clippers"
"382","SF / PF","6'10""","Inside-Out Scorer","Hedo Turkoglu",76,"2013-14 Los Angeles Clippers"
"383","SF / PF","6'7""","3 & D Wing","Matt Barnes",76,"2013-14 Los Angeles Clippers"
"384","PF","6'9""","Rebounder","Glen Davis",73,"2013-14 Los Angeles Clippers"
"385","SG / SF","6'7""","Prospect","Reggie Bullock",70,"2013-14 Los Angeles Clippers"
"386","SF / PF","6'7""","2-Way 3-Level Point Forward","Kawhi Leonard",95,"All-Time Los Angeles Clippers"
"387","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Bob McAdoo",94,"All-Time Los Angeles Clippers"
"388","PG","6'0""","All-Around Threat","Chris Paul",93,"All-Time Los Angeles Clippers"
"389","PG / SG","6'2""","Versatile Offensive Force","World B. Free",91,"All-Time Los Angeles Clippers"
"390","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Elton Brand",90,"All-Time Los Angeles Clippers"
"391","PF / C","6'10""","2-Way 3-Level Scorer","Blake Griffin",90,"All-Time Los Angeles Clippers"
"392","PG / SG","6'6""","2-Way Playshot","Ron Harper",89,"All-Time Los Angeles Clippers"
"393","C","6'11""","Paint Beast","DeAndre Jordan",87,"All-Time Los Angeles Clippers"
"394","C","7'0""","2-Way Inside-the-Arc Scorer","Chris Kaman",87,"All-Time Los Angeles Clippers"
"395","PF","6'10""","2-Way Inside-the-Arc Scorer","Danny Manning",87,"All-Time Los Angeles Clippers"
"396","SF / SG","6'6""","2-Way 3-Level Scorer","Corey Maggette",86,"All-Time Los Angeles Clippers"
"397","PG","6'2""","2-Way Playshot","Norm Nixon",86,"All-Time Los Angeles Clippers"
"398","C / PF","6'11""","2-Way Inside-the-Arc Scorer","Swen Nater",84,"All-Time Los Angeles Clippers"
"399","SG","6'4""","2-Way Diming Sharpshooter","JJ Redick",83,"All-Time Los Angeles Clippers"
"400","C / SF","6'10""","2-Way Mid-Range Shooter","Lamar Odom",82,"All-Time Los Angeles Clippers"
"401","PG","6'3""","Offensive Threat","Ja Morant",92,"Memphis Grizzlies"
"402","PF / C","6'10""","2-Way 3-Level Scorer","Jaren Jackson Jr.",87,"Memphis Grizzlies"
"403","SF / SG","6'5""","Diming 3-Level Scorer","Desmond Bane",85,"Memphis Grizzlies"
"404","C","6'11""","Paint Beast","Steven Adams",82,"Memphis Grizzlies"
"405","PG","6'2""","Versatile Offensive Force","Tyus Jones",80,"Memphis Grizzlies"
"406","SF / SG","6'6""","Hybrid Defender","Dillon Brooks",79,"Memphis Grizzlies"
"407","PF / C","6'8""","2-Way Inside-the-Arc Scorer","Brandon Clarke",78,"Memphis Grizzlies"
"408","C / PF","6'7""","2-Way Interior Finisher","Xavier Tillman",78,"Memphis Grizzlies"
"409","C / PF","7'0""","Stretch Four","Santi Aldama",77,"Memphis Grizzlies"
"410","SG / SF","6'5""","Sharpshooter","Luke Kennard",77,"Memphis Grizzlies"
"411","SF","6'4""","Interior Finisher","David Roddy",73,"Memphis Grizzlies"
"412","SF / PF","6'9""","Inside the Arc Scorer","Ziaire Williams",72,"Memphis Grizzlies"
"413","SF / PF","6'7""","Stretch Four","Jake LaRavia",72,"Memphis Grizzlies"
"414","SF / SG","6'5""","3-Level Scorer","John Konchar",72,"Memphis Grizzlies"
"415","PF","6'6""","Glass Cleaner","Kenneth Lofton Jr.",72,"Memphis Grizzlies"
"416","SG","6'4""","3PT Shooter","Vince Williams Jr.",69,"Memphis Grizzlies"
"417","PG","5'9""","3PT Playmaker","Jacob Gilyard",69,"Memphis Grizzlies"
"418","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Pau Gasol",91,"2005-06 Memphis Grizzlies"
"419","SF / PF","6'8""","2-Way Sharpshooter","Shane Battier",83,"2005-06 Memphis Grizzlies"
"420","SG","6'8""","Sharpshooter","Mike Miller",82,"2005-06 Memphis Grizzlies"
"421","SG / PF","6'6""","2-Way 3-Level Shot Creator","Eddie Jones",79,"2005-06 Memphis Grizzlies"
"422","PG","5'10""","Diming Outside Scorer","Damon Stoudamire",76,"2005-06 Memphis Grizzlies"
"423","PG","6'1""","3PT Playmaker","Bobby Jackson",76,"2005-06 Memphis Grizzlies"
"424","PF / C","6'9""","Interior Finisher","Hakim Warrick",74,"2005-06 Memphis Grizzlies"
"425","SF","6'6""","Perimeter Lockdown","Dahntay Jones",72,"2005-06 Memphis Grizzlies"
"426","PF","6'10""","Stretch Four","Brian Cardinal",72,"2005-06 Memphis Grizzlies"
"427","PF / C","6'9""","2-Way Inside-the-Arc Creator","Zach Randolph",87,"2012-13 Memphis Grizzlies"
"428","PG","6'1""","2-Way Playshot","Mike Conley",86,"2012-13 Memphis Grizzlies"
"429","SG","6'4""","2-Way Interior Finisher","Tony Allen",79,"2012-13 Memphis Grizzlies"
"430","C / PF","6'10""","Glass Cleaner","Ed Davis",78,"2012-13 Memphis Grizzlies"
"431","PG","6'3""","Shooter","Keyon Dooling",73,"2012-13 Memphis Grizzlies"
"432","SG","6'6""","Interior Finisher","Tony Wroten",71,"2012-13 Memphis Grizzlies"
"433","C","7'1""","2-Way Mid-Range Finisher","Pau Gasol",93,"All-Time Memphis Grizzlies"
"434","PG","6'3""","2-Way Playshot","Ja Morant",89,"All-Time Memphis Grizzlies"
"435","PF","6'9""","Inside the Arc Glass Cleaner","Zach Randolph",89,"All-Time Memphis Grizzlies"
"436","PG","6'1""","All-Around Threat","Mike Conley",88,"All-Time Memphis Grizzlies"
"437","PG","6'1""","Offensive Threat","Mike Bibby",86,"All-Time Memphis Grizzlies"
"438","PF / SF","6'9""","2-Way 3-Level Scorer","Shareef Abdur-Rahim",86,"All-Time Memphis Grizzlies"
"439","SF / SG","6'8""","2-Way Sharpshooter","Shane Battier",85,"All-Time Memphis Grizzlies"
"440","SG / SF","6'4""","2-Way Interior Finisher","Tony Allen",85,"All-Time Memphis Grizzlies"
"441","C","7'0""","2-Way Inside-the-Arc Scorer","Bryant Reeves",84,"All-Time Memphis Grizzlies"
"442","PG","6'1""","2-Way Playshot","Jason Williams",84,"All-Time Memphis Grizzlies"
"443","SF","6'8""","3-Level Scorer","Rudy Gay",83,"All-Time Memphis Grizzlies"
"444","PF / C","6'11""","2-Way 3-Level Scorer","Jaren Jackson Jr.",82,"All-Time Memphis Grizzlies"
"445","SG","6'8""","Sharpshooter","Mike Miller",82,"All-Time Memphis Grizzlies"
"446","C","6'11""","3-Level Scoring Glass Cleaner","Jonas Valanciunas",82,"All-Time Memphis Grizzlies"
"447","PG / SG","6'0""","Playmaking Shot Creator","Greg Anthony",81,"All-Time Memphis Grizzlies"
"448","PG","6'1""","Offensive Threat","Trae Young",89,"Atlanta Hawks"
"449","PG","6'5""","2-Way Playshot","Dejounte Murray",84,"Atlanta Hawks"
"450","C","6'10""","Paint Beast","Clint Capela",83,"Atlanta Hawks"
"451","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Onyeka Okongwu",81,"Atlanta Hawks"
"452","PF / C","6'9""","Inside the Arc Scorer","John Collins",80,"Atlanta Hawks"
"453","SF / PF","6'8""","2-Way 3-Level Scorer","De’Andre Hunter",80,"Atlanta Hawks"
"454","SF / PF","6'7""","Inside-Out Scorer","Saddiq Bey",79,"Atlanta Hawks"
"455","SG / SF","6'5""","3-Level Scorer","Bogdan Bogdanovic",79,"Atlanta Hawks"
"456","SF","6'6""","3-Level Scorer","AJ Griffin",76,"Atlanta Hawks"
"457","PF / SF","6'8""","Inside the Arc Scorer","Jalen Johnson",76,"Atlanta Hawks"
"458","C","6'10""","Glass-Cleaning Finisher","Bruno Fernando",75,"Atlanta Hawks"
"459","SG / PG","6'0""","Shot Creator","Aaron Holiday",73,"Atlanta Hawks"
"460","SF / SG","6'6""","Shooter","Garrison Mathews",73,"Atlanta Hawks"
"461","PG / SG","6'4""","Interior Finisher","Trent Forrest",71,"Atlanta Hawks"
"462","SG","6'8""","Prospect","Vit Krejci",70,"Atlanta Hawks"
"463","SF / SG","6'6""","Ball Hawk","Tyrese Martin",69,"Atlanta Hawks"
"464","SG","6'6""","3PT Shooter","Donovan Williams",68,"Atlanta Hawks"
"465","SF / SG","6'7""","2-Way Inside-the-Arc Scorer","Dominique Wilkins",92,"1985-86 Atlanta Hawks"
"466","PG / SG","6'4""","2-Way Floor General","Doc Rivers",83,"1985-86 Atlanta Hawks"
"467","PF / C","7'0""","Glass-Cleaning Finisher","Kevin Willis",79,"1985-86 Atlanta Hawks"
"468","SG","6'2""","Inside the Arc Playmaker","Johnny Davis",79,"1985-86 Atlanta Hawks"
"469","C / PF","7'1""","Defensive Anchor","Tree Rollins",78,"1985-86 Atlanta Hawks"
"470","PG / SG","5'7""","Inside the Arc Playmaker","Spud Webb",78,"1985-86 Atlanta Hawks"
"471","SG / SF","6'6""","Inside the Arc Scorer","Randy Wittman",77,"1985-86 Atlanta Hawks"
"472","PF / SF","6'8""","Glass Cleaner","Cliff Levingston",76,"1985-86 Atlanta Hawks"
"473","C / PF","7'0""","Defensive Anchor","Jon Koncak",76,"1985-86 Atlanta Hawks"
"474","PF / C","6'9""","Paint Protector","Antoine Carr",69,"1985-86 Atlanta Hawks"
"475","PF / C","6'10""","Paint Protector","Scott Hastings",68,"1985-86 Atlanta Hawks"
"476","SF / SG","6'7""","2-Way Slashing Point Forward","Dominique Wilkins",95,"All-Time Atlanta Hawks"
"477","PF / C","6'9""","2-Way 3-Level Scorer","Bob Pettit",95,"All-Time Atlanta Hawks"
"478","C / PF","7'2""","Paint Beast","Dikembe Mutombo",92,"All-Time Atlanta Hawks"
"479","SF / SG","6'4""","2-Way 3-Level Point Forward","Cliff Hagan",91,"All-Time Atlanta Hawks"
"480","SF / SG","6'5""","All-Around Threat","Lou Hudson",91,"All-Time Atlanta Hawks"
"481","SF / SG","6'7""","All-Around Threat","Joe Johnson",89,"All-Time Atlanta Hawks"
"482","PG","6'1""","Versatile Offensive Force","Trae Young",88,"All-Time Atlanta Hawks"
"483","SG / SF","6'5""","2-Way 3-Level Shot Creator","Joe Caldwell",88,"All-Time Atlanta Hawks"
"484","PF / C","7'0""","2-Way Inside-the-Arc Scorer","Kevin Willis",87,"All-Time Atlanta Hawks"
"485","SG / PG","6'5""","Offensive Threat","Pete Maravich",87,"All-Time Atlanta Hawks"
"486","PF / SF","6'8""","2-Way Inside-the-Arc Scorer","Paul Millsap",87,"All-Time Atlanta Hawks"
"487","SG / SF","6'7""","2-Way Sharpshooter","Steve Smith",87,"All-Time Atlanta Hawks"
"488","PG / SG","6'4""","2-Way Playshot","Doc Rivers",86,"All-Time Atlanta Hawks"
"489","PF / SF","6'9""","Paint Beast","Josh Smith",86,"All-Time Atlanta Hawks"
"490","C","6'10""","2-Way Diming 3-Level Scorer","Al Horford",85,"All-Time Atlanta Hawks"
"491","SF / SG","6'7""","2-Way 3-Level Point Forward","Jimmy Butler",93,"Miami Heat"
"492","C","6'9""","2-Way Inside-the-Arc Scorer","Bam Adebayo",87,"Miami Heat"
"493","SG / PG","6'5""","Inside-Out Combo Guard","Tyler Herro",84,"Miami Heat"
"494","PG","6'0""","2-Way Inside-Out Playmaker","Kyle Lowry",77,"Miami Heat"
"495","PF / C","6'8""","Back-To-Basket Big","Kevin Love",76,"Miami Heat"
"496","PG / SG","6'4""","2-Way Inside-the-Arc Scorer","Victor Oladipo",76,"Miami Heat"
"497","SF / SG","6'5""","Shooter","Max Strus",76,"Miami Heat"
"498","SG / SF","6'5""","Stretch Four","Caleb Martin",76,"Miami Heat"
"499","SG / PG","6'3""","Inside the Arc Scorer","Gabe Vincent",75,"Miami Heat"
"500","C / PF","7'0""","Glass Cleaner","Cody Zeller",75,"Miami Heat"
"501","C","6'11""","Glass Cleaner","Omer Yurtseven",75,"Miami Heat"
"502","SF / PF","6'10""","Interior Finisher","Nikola Jovic",74,"Miami Heat"
"503","SG / SF","6'7""","Shooter","Duncan Robinson",74,"Miami Heat"
"504","C","7'0""","Glass Cleaner","Orlando Robinson",72,"Miami Heat"
"505","PF / C","6'8""","Paint Protector","Udonis Haslem",70,"Miami Heat"
"506","SF / PF","6'7""","Hybrid Defender","Jamal Cain",70,"Miami Heat"
"507","SG / SF","6'4""","Stretch Four","Haywood Highsmith",70,"Miami Heat"
"508","C / PF","6'10""","2-Way Inside-the-Arc Scorer","Alonzo Mourning",93,"1996-97 Miami Heat"
"509","PG / SG","6'0""","2-Way Playshot","Tim Hardaway",88,"1996-97 Miami Heat"
"510","C","7'1""","Defensive Anchor","P.J. Brown",84,"1996-97 Miami Heat"
"511","SF / PF","6'8""","Inside the Arc Scorer","Jamal Mashburn",80,"1996-97 Miami Heat"
"512","SG / SF","6'6""","2-Way Sharpshooter","Dan Majerle",80,"1996-97 Miami Heat"
"513","SG","6'7""","Mid-Range Shooter","Willie Anderson",79,"1996-97 Miami Heat"
"514","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Isaac Austin",78,"1996-97 Miami Heat"
"515","PF","6'9""","Glass-Cleaning Finisher","Ed Pinckney",77,"1996-97 Miami Heat"
"516","SF / SG","6'7""","3 & D Wing","Keith Askins",74,"1996-97 Miami Heat"
"517","PG / SG","6'3""","3PT Specialist","John Crotty",72,"1996-97 Miami Heat"
"518","SF / PF","6'8""","3 & D Wing","Bruce Bowen",71,"1996-97 Miami Heat"
"519","PG","6'3""","Prospect","Gary Grant",69,"1996-97 Miami Heat"
"520","C","6'11""","Paint Protector","Matt Fish",68,"1996-97 Miami Heat"
"521","PG / SG","6'4""","2-Way Playshot","Dwyane Wade",96,"2005-06 Miami Heat"
"522","C","7'1""","Paint Beast","Shaquille O’Neal",90,"2005-06 Miami Heat"
"523","PG","6'1""","2-Way 3PT Playmaker","Jason Williams",79,"2005-06 Miami Heat"
"524","SF / PF","6'8""","2-Way 3-Level Scorer","Antoine Walker",79,"2005-06 Miami Heat"
"525","PG / SG","6'4""","2-Way Interior Finisher","Gary Payton",76,"2005-06 Miami Heat"
"526","C / PF","6'10""","Inside the Arc Glass Cleaner","Alonzo Mourning",76,"2005-06 Miami Heat"
"527","PF / C","6'8""","Inside the Arc Scorer","Udonis Haslem",76,"2005-06 Miami Heat"
"528","SF / PF","6'8""","Shooter","James Posey",75,"2005-06 Miami Heat"
"529","C","6'11""","Mid-Range Specialist","Michael Doleac",71,"2005-06 Miami Heat"
"530","SF","6'6""","Mid-Range Specialist","Shandon Anderson",71,"2005-06 Miami Heat"
"531","SG","6'5""","3PT Shooter","Derek Anderson",69,"2005-06 Miami Heat"
"532","SF","6'9""","Perimeter Defender","Dorell Wright",68,"2005-06 Miami Heat"
"533","SF / PF","6'8""","All-Around Threat","LeBron James",99,"2012-13 Miami Heat"
"534","SG","6'4""","2-Way Slashing Combo Guard","Dwyane Wade",92,"2012-13 Miami Heat"
"535","C / PF","6'11""","2-Way 3-Level Scorer","Chris Bosh",87,"2012-13 Miami Heat"
"536","SG / SF","6'5""","3-Level Scorer","Ray Allen",78,"2012-13 Miami Heat"
"537","PF / SF","6'8""","2-Way Stretch Four","Shane Battier",77,"2012-13 Miami Heat"
"538","SG","6'8""","Shooter","Mike Miller",76,"2012-13 Miami Heat"
"539","PG","6'2""","2-Way Mid-Range Specialist","Mario Chalmers",76,"2012-13 Miami Heat"
"540","PF / SF","6'10""","Stretch Four","Rashard Lewis",74,"2012-13 Miami Heat"
"541","C","6'10""","Defensive Anchor","Chris Andersen",74,"2012-13 Miami Heat"
"542","PF / C","6'8""","Defensive Anchor","Udonis Haslem",73,"2012-13 Miami Heat"
"543","PF","6'9""","Mid-Range Shooter","Juwan Howard",72,"2012-13 Miami Heat"
"544","SF / PF","6'8""","All-Around Threat","LeBron James",99,"All-Time Miami Heat"
"545","SG","6'4""","2-Way Playshot","Dwyane Wade",97,"All-Time Miami Heat"
"546","C / PF","6'10""","2-Way Inside-the-Arc Scorer","Alonzo Mourning",94,"All-Time Miami Heat"
"547","SF / SG","6'7""","2-Way Slashing Point Forward","Jimmy Butler",91,"All-Time Miami Heat"
"548","PG / SG","6'0""","All-Around Threat","Tim Hardaway",89,"All-Time Miami Heat"
"549","C","7'1""","Paint Beast","Shaquille O’Neal",89,"All-Time Miami Heat"
"550","SF","6'7""","2-Way Sharpshooter","Glen Rice",88,"All-Time Miami Heat"
"551","PF / C","6'11""","3-Level Scoring Glass Cleaner","Chris Bosh",88,"All-Time Miami Heat"
"552","C","6'11""","2-Way Inside-the-Arc Scorer","Rony Seikaly",86,"All-Time Miami Heat"
"553","C","6'9""","2-Way Inside-the-Arc Scorer","Bam Adebayo",86,"All-Time Miami Heat"
"554","SG / SF","6'6""",NA,"Eddie Jones",85,"All-Time Miami Heat"
"555","SG / SF","6'7""","2-Way Sharpshooter","Steve Smith",85,"All-Time Miami Heat"
"556","PG","6'3""","Versatile Offensive Force","Goran Dragic",85,"All-Time Miami Heat"
"557","C","7'0""","2-Way Inside-the-Arc Scorer","Hassan Whiteside",84,"All-Time Miami Heat"
"558","PF / C","6'8""","2-Way Inside-the-Arc Scorer","Udonis Haslem",84,"All-Time Miami Heat"
"559","PG / SG","6'7""","Playmaking Shot Creator","LaMelo Ball",86,"Charlotte Hornets"
"560","SG / PG","6'1""","Playmaking Shot Creator","Terry Rozier III",81,"Charlotte Hornets"
"561","SF / SG","6'6""","3-Level Scorer","Kelly Oubre Jr.",80,"Charlotte Hornets"
"562","SF / PF","6'7""","3-Level Scorer","Gordon Hayward",79,"Charlotte Hornets"
"563","C","7'0""","Defensive Anchor","Mark Williams",78,"Charlotte Hornets"
"564","C","7'0""","Defensive Anchor","Nick Richards",78,"Charlotte Hornets"
"565","PF / C","6'7""","Inside-Out Scorer","P.J. Washington",77,"Charlotte Hornets"
"566","SF / SG","6'6""","Inside-Out Scorer","Cody Martin",75,"Charlotte Hornets"
"567","PG","6'2""","Slasher","Dennis Smith Jr.",74,"Charlotte Hornets"
"568","SG / SF","6'7""","3-Level Scorer","Sviatoslav Mykhailiuk",74,"Charlotte Hornets"
"569","PG / SG","6'5""","Inside-Out Playmaker","Theo Maledon",74,"Charlotte Hornets"
